time_seconds,scene_score
583.56,0.570782
584.36,0.433890
585.32,0.483500
586.36,0.486072
587.56,0.551912
589.32,0.662392
590.56,0.700428
592.72,0.748294
595.28,0.716985
596.68,0.611615
597.72,0.761878
599.44,0.571930
601.52,0.617117
603.76,0.527079
605.28,0.578172
606.84,0.431494
608.52,0.545576
609.52,0.546251
610.72,0.636156
613.44,0.434668
614.36,0.686230
616.08,0.499938
618.32,0.377819
619.92,0.553681
622.12,0.501400
624.08,0.550217
625.72,0.699781
627.44,0.428898
629.36,0.552088
630.8,0.408239
631.44,0.551359
633.44,0.459329
633.88,0.439718
634,0.387924
636.32,0.568136
637.52,0.536631
638.44,0.533772
640.52,0.490271
641.16,0.611145
642.76,0.498009
643.76,0.564666
644.44,0.511459
646.68,0.564121
648.12,0.524252
649.04,0.489430
650.96,0.571148
652.4,0.558210
656,0.415404
657.52,0.599339
658.6,0.585432
659.92,0.394979
661.56,0.396822
661.64,0.519892
662.52,0.567803
664.44,0.499555
664.92,0.384751
666.52,0.513189
666.6,0.519702
667.08,0.591659
667.92,0.354391
678.84,0.410977
685.52,0.441194
686.68,0.384464
688.2,0.512898
690.64,0.492786
693.36,0.412949
697.08,0.380145
698.2,0.425999
699.56,0.427755
701.48,0.416653
703.36,0.431263
706.92,0.540166
711.76,0.415639
712.92,0.483496
714.72,0.504567
717.4,0.457498
718.68,0.458494
720.2,0.352428
723.44,0.458213
725.56,0.351918
726.88,0.456245
731.12,0.451101
737.16,0.415785
739.32,0.496755
740.52,0.500340
741.4,0.401227
743.68,0.396282
745.08,0.456922
747.92,0.491647
758.6,0.578127
761.32,0.657416
762.72,0.695432
764.64,0.508076
765.72,0.479300
767.36,0.487265
769.2,0.414445
771.28,0.579532
774.36,0.501693
776.88,0.413990
777.84,0.593952
779.56,0.527292
781.48,0.611305
783.12,0.520710
786.16,0.403684
788.12,0.471341
791.2,0.604329
793.48,0.594100
802.08,0.409988
803.44,0.458621
806.36,0.465939
809.4,0.400514
811.4,0.476413
813.04,0.423703
817.84,0.566603
819.96,0.483677
822.08,0.496803
822.84,0.582306
824.32,0.715589
826.68,0.763011
827.44,0.483133
828.72,0.441088
830.04,0.609420
830.56,0.668929
831.32,0.374441
831.88,0.424935
833.48,0.724629
835.28,0.507754
836.32,0.687973
838,0.605739
838.96,0.618183
840.92,0.616102
841.96,0.595331
843.48,0.571447
844.32,0.546483
845.68,0.794539
847.16,0.699581
849.8,0.629163
850.52,0.662445
854.48,0.368639
855.72,0.516944
856.72,0.373096
857.4,0.441500
858.72,0.521942
860.68,0.571327
861.88,0.514617
863.92,0.355019
864.92,0.443876
867.24,0.493874
868.88,0.450766
870.12,0.450523
874.44,0.402138
875.72,0.558020
876.76,0.564914
878.2,0.402713
880.56,0.519982
885.28,0.531369
889.8,0.357037
890.8,0.439456
891.88,0.646768
893.6,0.355204
895.56,0.673314
896.6,0.589020
899.04,0.433364
899.8,0.490436
902.44,0.555216
905.64,0.382865
907.84,0.570223
908.96,0.549091
910.48,0.687929
912.04,0.402166
914.64,0.418936
916.96,0.638078
920.32,0.434962
921.64,0.485809
923.92,0.464246
924.72,0.475749
928.72,0.630720
930.4,0.584029
931.52,0.380698
933.6,0.511873
935,0.484961
936.2,0.459833
938.36,0.602992
938.92,0.537903
940,0.538449
940.96,0.404994
943.6,0.745443
944.92,0.703767
945.76,0.450813
946.92,0.457520
947.96,0.480327
949.72,0.688440
952.96,0.462071
953.6,0.448189
955.36,0.559575
956.28,0.607581
957.52,0.579329
958.12,0.521863
960.48,0.548130
961.88,0.420461
963.44,0.748137
964,0.490791
964.68,0.692433
967.88,0.675675
969.16,0.376908
970.92,0.476959
971.96,0.525554
972.68,0.386579
973.44,0.364160
974.64,0.380517
977.92,0.708996
979.64,0.675988
981.52,0.610626
982.48,0.574748
983.52,0.375044
986.32,0.640828
986.76,0.766843
992.52,0.405268
993.32,0.374587
995.2,0.449119
996.84,0.511414
999.76,0.358317
1000.44,0.357509
